employer,title,url,fit,band,cv,upload,freelance
Latent Labs Limited,Forward Deployed AI Engineer,https://www.latentlabs.com/?section=opportunities,11,excellent,Victor_Ibhafidon_forward-deployed-ai-engineer_9cec9b.pdf,no,no
FONE ZONE SOLUTIONS LIMITED,Software Developer (Full-Stack),https://fonezonesolutions.com/careers/,8,strong,Victor_Ibhafidon_software-developer-full-stack_8d37f5.pdf,no,no
Recourse AI Ltd,Software Engineer (Full stack),https://recourseai.com/careers,8,strong,Victor_Ibhafidon_software-engineer-full-stack_690942.pdf,no,no
Sunrise Software Ltd,AI-First Software Developer,https://www.sunrisesoftware.com/careers,8,strong,Victor_Ibhafidon_ai-first-software-developer_cba739.pdf,no,no
5Y Technology Limited,Associate Data Engineer,https://5ytechnology.com/en/company/careers,7,strong,Victor_Ibhafidon_associate-data-engineer_8dd30f.pdf,no,no
Insightsoftware UK Ltd,Associate Data Engineer,https://insightsoftware.com/careers/,7,strong,Victor_Ibhafidon_associate-data-engineer_e583f4.pdf,no,no
Market Cloud Ltd,"Data Engineer, Azure/AWS",https://marketcloud.co.uk/careers/,6,strong,Victor_Ibhafidon_data-engineer-azure-aws_e88834.pdf,yes,no
MASZ TECHNOLOGIES LIMITED,Junior Software Developer/Programmer,https://masztechnologies.co.uk/careers/,6,strong,Victor_Ibhafidon_junior-software-developer-programmer_65f4a0.pdf,no,no
Recourse AI Ltd,Software Engineer (Backend),https://recourseai.com/careers,6,strong,Victor_Ibhafidon_software-engineer-backend_880d5a.pdf,no,no
Silverlink Technologies Ltd,Software Developer/ Software Engineer,https://silverlinktechnologies.com/careers/,6,strong,Victor_Ibhafidon_software-developer-software-engineer_76a7ee.pdf,no,no
Tech NXT Gen Ltd,Machine Learning Engineer,https://www.technxtgen.com/careers,6,strong,Victor_Ibhafidon_machine-learning-engineer_702418.pdf,yes,no
Tiger Analytics Consulting Ltd,Machine Learning Engineer - Plano,https://www.tigeranalytics.com/about-us/current-openings/,6,strong,Victor_Ibhafidon_machine-learning-engineer-plano_31fe67.pdf,no,no
Torry Harris Business Solutions ( Europe) Limited,Associate Software Engineer,https://www.torryharris.com:443/careers,6,strong,Victor_Ibhafidon_associate-software-engineer_a31076.pdf,no,no
Brickendon Consulting Limited,Full-Stack Developer,https://brickendonconsulting.com/careers/,5,strong,Victor_Ibhafidon_full-stack-developer_908390.pdf,no,no
BSO Network Solutions Ltd,Full Stack Developer,https://www.bso.co/careers,5,strong,Victor_Ibhafidon_full-stack-developer_493ec8.pdf,no,no
Data Spartan Limited,Full Stack Developer,https://www.dataspartan.co.uk/portfolio/careers/,5,strong,Victor_Ibhafidon_full-stack-developer_1d99be.pdf,no,no
EECOMMERCE SOLUTIONS LTD,Full Stack Developer,https://eecommercesolutions.com/careers/,5,strong,Victor_Ibhafidon_full-stack-developer_84c4d8.pdf,yes,no
Expoplatform Limited,Junior Front-end Developer,https://expoplatform.com/careers/,5,strong,Victor_Ibhafidon_junior-front-end-developer_6e85d0.pdf,no,no
Fat Fish Digital Ltd,Full Stack Developer,https://fatfishdigital.co.uk/careers,5,strong,Victor_Ibhafidon_full-stack-developer_cdf944.pdf,no,no
LADERA TECHNOLOGY LTD,Node JS Backend Developer,https://laderatechnology.com/careers/,5,strong,Victor_Ibhafidon_node-js-backend-developer_c8183e.pdf,no,no
Market Cloud Ltd,Full Stack Developer,https://marketcloud.co.uk/careers/,5,strong,Victor_Ibhafidon_full-stack-developer_381ef9.pdf,yes,no
STORILABS UK LIMITED,Python Developer,https://storilabs.com/careers/,5,strong,Victor_Ibhafidon_python-developer_6d63bc.pdf,no,no
Bluelotus Technologies Limited,Data Scientist,https://bluelotustechnologies.com/jobs/,4,possible,Victor_Ibhafidon_data-scientist_2b7be2.pdf,no,no
CLOUDFIRST TECHNOLOGIES LTD,Data Engineer,https://cloudfirsttechnologies.com/careers/,4,possible,Victor_Ibhafidon_data-engineer_5f928b.pdf,no,no
Bluelotus Technologies Limited,on Data Scientist,https://bluelotustechnologies.com/jobs/,4,possible,Victor_Ibhafidon_on-data-scientist_937343.pdf,no,no
Ellipse Data Ltd,Data Scientist - CricViz,https://ellipsedata.com/careers/,4,possible,Victor_Ibhafidon_data-scientist-cricviz_0cb190.pdf,no,no
Hippo Digital Limited,Data Engineer,https://hippodigital.co.uk/careers/,4,possible,Victor_Ibhafidon_data-engineer_471053.pdf,no,no
i5 Solutions Global Holdings UK Limited,Data Scientist (Entry/Mid-Level),https://www.i5solutions.co.uk/careers/,4,possible,Victor_Ibhafidon_data-scientist-entry-mid-level_af6189.pdf,no,no
RY SOLUTIONS LTD,Data Engineer,https://rysolutions.co.uk/careers/,4,possible,Victor_Ibhafidon_data-engineer_5c6cbe.pdf,no,no
RY SOLUTIONS LTD,: Data Engineer,https://rysolutions.co.uk/careers/,4,possible,Victor_Ibhafidon_data-engineer_dc1b6e.pdf,no,no
SystemsAccountants Limited,Data Engineer (BigQuery),https://www.systemsaccountants.com/jobs/,4,possible,Victor_Ibhafidon_data-engineer-bigquery_c1d952.pdf,no,no
Tech NXT Gen Ltd,Data Scientist,https://www.technxtgen.com/careers,4,possible,Victor_Ibhafidon_data-scientist_c53056.pdf,yes,no
Tech NXT Gen Ltd,Big Data Engineer,https://www.technxtgen.com/careers,4,possible,Victor_Ibhafidon_big-data-engineer_e34b51.pdf,yes,no
Tiger Analytics Consulting Ltd,GenAI Data Engineer - Hartford,https://www.tigeranalytics.com/about-us/current-openings/,4,possible,Victor_Ibhafidon_genai-data-engineer-hartford_f904a4.pdf,no,no
Bezaleel Solutions Limited,Software Developer,https://bezaleelsolutions.com/careers,3,possible,Victor_Ibhafidon_software-developer_b24b9f.pdf,no,no
Cambridge Consultants Limited,Electronics / Software Engineer,https://www.cambridgeconsultants.com/careers/,3,possible,Victor_Ibhafidon_electronics-software-engineer_889a5b.pdf,no,no
Crowd Data Systems Limited,Back-End Developer,https://www.crowddatasystems.com/careers,3,possible,Victor_Ibhafidon_back-end-developer_466f9f.pdf,no,no
Data Spartan Limited,Back End Developer,https://www.dataspartan.co.uk/portfolio/careers/,3,possible,Victor_Ibhafidon_back-end-developer_26db61.pdf,no,no
Energy Solutions UK Ltd,Software Engineer,https://energysolutions.co.uk/careers-opportunities/,3,possible,Victor_Ibhafidon_software-engineer_c1e9b9.pdf,yes,no
ENERGY SOLUTIONS (ES) LTD,Software Engineer,https://energysolutions.co.uk/careers-opportunities/,3,possible,Victor_Ibhafidon_software-engineer_746d36.pdf,yes,no
Global Shop Solutions (UK) Limited,ERP SOFTWARE DEVELOPER,https://www.globalshopsolutions.com/careers,3,possible,Victor_Ibhafidon_erp-software-developer_b010f0.pdf,no,no
I-Net Software Solutions,Software Engineer,https://www.inetsoftwaresolutions.co.uk/careers/,3,possible,Victor_Ibhafidon_software-engineer_a809e6.pdf,no,no
I-Net Software Solutions,Software Developer,https://www.inetsoftwaresolutions.co.uk/careers/,3,possible,Victor_Ibhafidon_software-developer_33fb35.pdf,no,no
Icon Solutions (UK) Ltd,"Software Engineer, Icon Solutions",https://iconsolutions.com/careers,3,possible,Victor_Ibhafidon_software-engineer-solutions_937ac1.pdf,no,no
i5 Solutions Global Holdings UK Limited,Software Engineer,https://www.i5solutions.co.uk/careers/,3,possible,Victor_Ibhafidon_software-engineer_ee63d5.pdf,no,no
Insightsoftware UK Ltd,Software Engineer II,https://insightsoftware.com/careers/,3,possible,Victor_Ibhafidon_software-engineer-ii_e87b50.pdf,no,no
Kalki Tech Services Limited,Software Engineer,https://kalkitech.com/careers/,3,possible,Victor_Ibhafidon_software-engineer_5cbca5.pdf,yes,no
Krubha IT Solutions UK Ltd,Software developer,https://krubhaitsolutions.com/careers/,3,possible,Victor_Ibhafidon_software-developer_f413b2.pdf,yes,no
Loop Technology Limited,Software Engineer,https://looptechnology.com/careers/,3,possible,Victor_Ibhafidon_software-engineer_c078d5.pdf,no,no
RJ Software Solutions Ltd,Software Developer,https://rjsoftwaresolutions.co.uk/careers/,3,possible,Victor_Ibhafidon_software-developer_844ab2.pdf,yes,no
Samvedya Technologies Limited,Software Engineer,https://samvedyatechnologies.com/jobs/,3,possible,Victor_Ibhafidon_software-engineer_2729ee.pdf,no,no
Silverlink Technologies Ltd,Software Engineer,https://silverlinktechnologies.com/careers/,3,possible,Victor_Ibhafidon_software-engineer_345829.pdf,no,no
Tech NXT Gen Ltd,GenAI Software Engineer,https://www.technxtgen.com/careers,3,possible,Victor_Ibhafidon_genai-software-engineer_75fce6.pdf,yes,no
TechinUK Limited,Software Engineer,https://techinuk.com/careers/,3,possible,Victor_Ibhafidon_software-engineer_d9b915.pdf,no,no
Torry Harris Business Solutions ( Europe) Limited,Software Engineer,https://www.torryharris.com:443/careers,3,possible,Victor_Ibhafidon_software-engineer_7e7754.pdf,no,no
Torry Harris Business Solutions ( Europe) Limited,Associated Software Engineer,https://www.torryharris.com:443/careers,3,possible,Victor_Ibhafidon_associated-software-engineer_b7495e.pdf,no,no
Torry Harris Business Solutions ( Europe) Limited,Software Developer,https://www.torryharris.com:443/careers,3,possible,Victor_Ibhafidon_software-developer_ca45a1.pdf,no,no
Transcend Street Solutions UK Limited,Software Developer,https://www.transcendstreet.com/careers/,3,possible,Victor_Ibhafidon_software-developer_24b5d5.pdf,no,no
Unitive Technologies Limited,"Software Developer, Applications",https://unitivetechnologies.com/careers,3,possible,Victor_Ibhafidon_software-developer-applications_d2bba8.pdf,no,no
Unitive Technologies Limited,Software Engineer,https://unitivetechnologies.com/careers,3,possible,Victor_Ibhafidon_software-engineer_0e03bc.pdf,no,no
Yashvi Data Systems Limited,Software Engineer,https://www.yashvidatasystems.co.uk/careers,3,possible,Victor_Ibhafidon_software-engineer_56e5ff.pdf,no,no
Zynx Technologies Limited,Software Developer,https://www.zynxtechnologies.com/careers/,3,possible,Victor_Ibhafidon_software-developer_7cea61.pdf,yes,no
BBD Software Limited,Platform Engineer (NL26),https://bbdsoftware.com/open-positions/,2,possible,Victor_Ibhafidon_platform-engineer-nl26_ae82bc.pdf,no,no
BBD Software Limited,DevOps Engineer (IND26),https://bbdsoftware.com/open-positions/,2,possible,Victor_Ibhafidon_devops-engineer-ind26_705afc.pdf,no,no
BBD Software Limited,Platform Engineer (SA26),https://bbdsoftware.com/open-positions/,2,possible,Victor_Ibhafidon_platform-engineer-sa26_07cc15.pdf,no,no
BBD Software Limited,Platform Engineer (IND26),https://bbdsoftware.com/open-positions/,2,possible,Victor_Ibhafidon_platform-engineer-ind26_03e644.pdf,no,no
CLOUDFIRST TECHNOLOGIES LTD,DevOps Engineer,https://cloudfirsttechnologies.com/careers/,2,possible,Victor_Ibhafidon_devops-engineer_5ccae1.pdf,no,no
Data Spartan Limited,Cloud Engineer,https://www.dataspartan.co.uk/portfolio/careers/,2,possible,Victor_Ibhafidon_cloud-engineer_7d19e0.pdf,no,no
Insightsoftware UK Ltd,DevOps Engineer,https://insightsoftware.com/careers/,2,possible,Victor_Ibhafidon_devops-engineer_98b141.pdf,no,no
Linus Technology Ltd,Devops Engineer - Fortify NexusIQ Jenkins - Investment Bank,https://linustechnology.com/careers,2,possible,Victor_Ibhafidon_devops-engineer-fortify-nexusiq-jenkins-investme_99ed7f.pdf,yes,no
SWIFT GLOBAL ECO SOLUTIONS LIMITED,DevOps Engineer,https://swiftglobal.co.uk/careers/,2,possible,Victor_Ibhafidon_devops-engineer_a44d36.pdf,no,no
Techsapiens Limited,Front-end Developer,https://techsapiens.com/jobs/,2,possible,Victor_Ibhafidon_front-end-developer_a8881c.pdf,yes,no
Tiger Analytics Consulting Ltd,BI Full Stack Developer - Tableau - Beaverton,https://www.tigeranalytics.com/about-us/current-openings/,2,possible,Victor_Ibhafidon_bi-full-stack-developer-tableau-beaverton_7a8309.pdf,no,no
